referrer,views_total,views_unique
github.com,11285,5751
Google,4656,3644
agpt.co,3509,2056
chatgpt.com,859,471
Bing,520,281
doubao.com,242,101
aixploria.com,216,161
futurepedia.io,161,104
namu.wiki,126,74
youtube.com,124,41
