referrer,views_total,views_unique
github.com,11119,6030
Google,4589,3511
agpt.co,3493,2107
chatgpt.com,912,524
Bing,508,291
aixploria.com,242,171
doubao.com,205,102
futurepedia.io,152,99
youtube.com,145,45
namu.wiki,121,75
