referrer,views_total,views_unique
github.com,11077,5770
Google,4703,3566
agpt.co,3557,2089
chatgpt.com,896,475
Bing,552,301
doubao.com,236,97
aixploria.com,210,160
futurepedia.io,175,113
namu.wiki,124,72
youtube.com,121,40
